cbsa,count_SELF,sum_SELF,share_SELF,count_INC,sum_INC,share_INC,count_entrep,sum_entrep,share_entrep,count_ba,sum_ba,share_ba
"Spirit Lake, IA",,,,,,,89.0,12.0,0.1348314606741573,,,
"St. Marys, GA",,,,,,,268.0,14.0,0.05223880597014925,,,
"St. Marys, PA",,,,,,,100.0,7.0,0.07,,,
"Starkville, MS",,,,,,,382.0,15.0,0.03926701570680628,,,
"Statesboro, GA",,,,,,,470.0,26.0,0.05531914893617021,,,
"Staunton, VA",,,,,,,570.0,33.0,0.05789473684210526,,,
"Steamboat Springs, CO",,,,,,,227.0,30.0,0.13215859030837004,,,
"Stephenville, TX",,,,,,,217.0,20.0,0.09216589861751152,,,
"Sterling, CO",,,,,,,56.0,8.0,0.14285714285714285,,,
"Sterling, IL",,,,,,,175.0,13.0,0.07428571428571429,,,
"Stevens Point, WI",,,,,,,975.0,51.0,0.052307692307692305,,,
"Stillwater, OK",,,,,,,660.0,29.0,0.04393939393939394,,,
"Storm Lake, IA",,,,,,,47.0,4.0,0.0851063829787234,,,
"Sturgis, MI",,,,,,,213.0,20.0,0.09389671361502347,,,
"Sulphur Springs, TX",,,,,,,100.0,8.0,0.08,,,
"Summerville, GA",,,,,,,48.0,1.0,0.020833333333333332,,,
"Sumter, SC",,,,,,,618.0,26.0,0.042071197411003236,,,
"Sunbury, PA",,,,,,,554.0,27.0,0.048736462093862815,,,
"Susanville, CA",,,,,,,52.0,6.0,0.11538461538461539,,,
"Sweetwater, TX",,,,,,,51.0,0.0,0.0,,,
"Tahlequah, OK",,,,,,,139.0,11.0,0.07913669064748201,,,
"Talladega-Sylacauga, AL",,,,,,,214.0,12.0,0.056074766355140186,,,
"Taos, NM",,,,,,,121.0,16.0,0.1322314049586777,,,
"Taylorville, IL",,,,,,,72.0,6.0,0.08333333333333333,,,
"Texarkana, TX-AR",,,,,,,623.0,41.0,0.06581059390048154,,,
"The Dalles, OR",,,,,,,104.0,11.0,0.10576923076923077,,,
"The Villages, FL",,,,,,,411.0,26.0,0.06326034063260341,,,
"Thomaston, GA",,,,,,,56.0,2.0,0.03571428571428571,,,
"Thomasville, GA",,,,,,,210.0,6.0,0.02857142857142857,,,
"Tiffin, OH",,,,,,,210.0,12.0,0.05714285714285714,,,
"Tifton, GA",,,,,,,179.0,11.0,0.061452513966480445,,,
"Toccoa, GA",,,,,,,96.0,8.0,0.08333333333333333,,,
"Traverse City, MI",,,,,,,1028.0,104.0,0.10116731517509728,,,
"Troy, AL",,,,,,,142.0,7.0,0.04929577464788732,,,
"Truckee-Grass Valley, CA",,,,,,,636.0,96.0,0.1509433962264151,,,
"Tullahoma-Manchester, TN",,,,,,,384.0,29.0,0.07552083333333333,,,
"Tulsa, OK",,,,,,,8825.0,538.0,0.060963172804532575,,,
"Tupelo, MS",,,,,,,639.0,23.0,0.03599374021909233,,,
"Twin Falls, ID",,,,,,,489.0,42.0,0.08588957055214724,,,
"Ukiah, CA",,,,,,,259.0,25.0,0.09652509652509653,,,
"Union City, TN",,,,,,,68.0,5.0,0.07352941176470588,,,
"Union, SC",,,,,,,46.0,2.0,0.043478260869565216,,,
"Urbana, OH",,,,,,,83.0,4.0,0.04819277108433735,,,
"Uvalde, TX",,,,,,,81.0,10.0,0.12345679012345678,,,
"Van Wert, OH",,,,,,,92.0,3.0,0.03260869565217391,,,
"Vermillion, SD",,,,,,,114.0,3.0,0.02631578947368421,,,
"Vernal, UT",,,,,,,151.0,8.0,0.052980132450331126,,,
"Vernon, TX",,,,,,,27.0,0.0,0.0,,,
"Vicksburg, MS",,,,,,,193.0,10.0,0.05181347150259067,,,
"Victoria, TX",,,,,,,580.0,37.0,0.06379310344827586,,,
"Vidalia, GA",,,,,,,111.0,13.0,0.11711711711711711,,,
"Vincennes, IN",,,,,,,132.0,4.0,0.030303030303030304,,,
"Vineland-Bridgeton, NJ",,,,,,,534.0,28.0,0.052434456928838954,,,
"Vineyard Haven, MA",,,,,,,75.0,7.0,0.09333333333333334,,,
"Wabash, IN",,,,,,,121.0,8.0,0.06611570247933884,,,
"Wahpeton, ND-MN",,,,,,,43.0,2.0,0.046511627906976744,,,
"Walla Walla, WA",,,,,,,314.0,30.0,0.09554140127388536,,,
"Wapakoneta, OH",,,,,,,198.0,10.0,0.050505050505050504,,,
"Warner Robins, GA",,,,,,,1026.0,50.0,0.04873294346978557,,,
"Warren, PA",,,,,,,96.0,6.0,0.0625,,,
"Warrensburg, MO",,,,,,,268.0,15.0,0.055970149253731345,,,
