city,state,state_code,csa,id,cnt
tulsa metropolitan area,,,tulsa-muskogee-bartlesville,tulsa metropolitan area,183187
des moines metropolitan area,,,des moines-ames-west des moines,des moines metropolitan area,182240
athens,georgia,ga,atlanta--athens-clarke county--sandy springs,"athens, georgia, united states",180609
lubbock,texas,tx,lubbock-plainview-levelland,"lubbock, texas, united states",180590
albany,new york metropolitan area,ny,albany-schenectady,"albany, new york metropolitan area",180574
greater madison area,,,madison-janesville-beloit,greater madison area,179679
englewood,colorado,co,denver-aurora,"englewood, colorado, united states",178540
carlsbad,california,ca,san diego-chula vista-carlsbad,"carlsbad, california, united states",178212
lawrenceville,georgia,ga,atlanta--athens-clarke county--sandy springs,"lawrenceville, georgia, united states",177675
asheville,north carolina,nc,asheville-marion-brevard,"asheville, north carolina, united states",177584
charlottesville,virginia,va,charlottesville,"charlottesville, virginia, united states",176886
san mateo,california,ca,san jose-san francisco-oakland,"san mateo, california, united states",175762
chesapeake,virginia,va,virginia beach-norfolk,"chesapeake, virginia, united states",175240
toledo,ohio,oh,toledo-findlay-tiffin,"toledo, ohio, united states",174876
stockton,california,ca,san jose-san francisco-oakland,"stockton, california, united states",173039
newport beach,california,ca,los angeles-long beach,"newport beach, california, united states",171867
bradenton,florida,fl,north port-sarasota,"bradenton, florida, united states",171561
glendale,arizona,az,phoenix-mesa,"glendale, arizona, united states",171432
worcester,massachusetts,ma,boston-worcester-providence,"worcester, massachusetts, united states",170232
chapel hill,north carolina,nc,raleigh-durham-cary,"chapel hill, north carolina, united states",168778
salem,oregon,or,portland-vancouver-salem,"salem, oregon, united states",167692
providence county,rhode island,ri,boston-worcester-providence,"providence county, rhode island, united states",165932
burbank,california,ca,los angeles-long beach,"burbank, california, united states",164207
kissimmee,florida,fl,orlando-lakeland-deltona,"kissimmee, florida, united states",163547
clearwater,florida,fl,tampa-st. petersburg-clearwater,"clearwater, florida, united states",163018
new haven,connecticut,ct,new york-newark,"new haven, connecticut, united states",162896
knoxville metropolitan area,,,knoxville-morristown-sevierville,knoxville metropolitan area,162437
bloomington,indiana,in,bloomington-bedford,"bloomington, indiana, united states",161719
ashburn,virginia,va,washington-baltimore-arlington,"ashburn, virginia, united states",161495
reading,pennsylvania,pa,philadelphia-reading-camden,"reading, pennsylvania, united states",161009
olympia,washington,wa,seattle-tacoma,"olympia, washington, united states",160491
dayton metropolitan area,,,dayton-springfield-kettering,dayton metropolitan area,160055
stamford,connecticut,ct,new york-newark,"stamford, connecticut, united states",159707
fayetteville,north carolina,nc,fayetteville-sanford-lumberton,"fayetteville, north carolina, united states",159189
denton,texas,tx,dallas-fort worth,"denton, texas, united states",158097
mobile,alabama,al,mobile-daphne-fairhope,"mobile, alabama, united states",157427
richardson,texas,tx,dallas-fort worth,"richardson, texas, united states",156718
miami beach,florida,fl,miami-port st. lucie-fort lauderdale,"miami beach, florida, united states",156451
round rock,texas,tx,austin-round rock-georgetown,"round rock, texas, united states",155994
columbia,missouri,mo,columbia-moberly-mexico,"columbia, missouri, united states",155895
santa rosa,california,ca,san jose-san francisco-oakland,"santa rosa, california, united states",155769
trenton,new jersey,nj,new york-newark,"trenton, new jersey, united states",155524
boise metropolitan area,,,boise city-mountain home-ontario,boise metropolitan area,155318
decatur,georgia,ga,atlanta--athens-clarke county--sandy springs,"decatur, georgia, united states",155184
greater birmingham,alabama area,al,birmingham-hoover-talladega,"greater birmingham, alabama area",154975
murfreesboro,tennessee,tn,nashville-davidson--murfreesboro,"murfreesboro, tennessee, united states",154932
alexandria,virginia,va,washington-baltimore-arlington,"alexandria, virginia, united states",154325
corpus christi,texas,tx,corpus christi-kingsville-alice,"corpus christi, texas, united states",154155
lancaster,pennsylvania,pa,lancaster,"lancaster, pennsylvania, united states",153173
greater tucson area,,,tucson-nogales,greater tucson area,153003
newark,new jersey,nj,new york-newark,"newark, new jersey, united states",152983
ocala,florida,fl,ocala,"ocala, florida, united states",152404
portland,maine,me,portland-lewiston-south portland,"portland, maine, united states",152244
bellingham,washington,wa,bellingham,"bellingham, washington, united states",151448
haven,kansas,ks,,"haven, kansas, united states",150245
cumming,georgia,ga,atlanta--athens-clarke county--sandy springs,"cumming, georgia, united states",149681
kalamazoo,michigan,mi,kalamazoo-battle creek-portage,"kalamazoo, michigan, united states",149209
sioux falls,south dakota,sd,sioux falls,"sioux falls, south dakota, united states",148884
estados unidos,,,,estados unidos,148800
santa ana,california,ca,los angeles-long beach,"santa ana, california, united states",148642
fairfax county,virginia,va,washington-baltimore-arlington,"fairfax county, virginia, united states",148171
bethesda,maryland,md,washington-baltimore-arlington,"bethesda, maryland, united states",147503
bend,oregon,or,bend-prineville,"bend, oregon, united states",147203
franklin,tennessee,tn,nashville-davidson--murfreesboro,"franklin, tennessee, united states",146911
torrance,california,ca,los angeles-long beach,"torrance, california, united states",146795
corona,california,ca,los angeles-long beach,"corona, california, united states",146621
green bay,wisconsin,wi,green bay-shawano,"green bay, wisconsin, united states",146316
frederick,maryland,md,washington-baltimore-arlington,"frederick, maryland, united states",145877
harrisburg,pennsylvania,pa,harrisburg-york-lebanon,"harrisburg, pennsylvania, united states",145461
queens,new york,ny,new york-newark,"queens, new york, united states",145098
greater colorado springs area,,,colorado springs,greater colorado springs area,144323
newark,delaware,de,philadelphia-reading-camden,"newark, delaware, united states",144085
cypress,texas,tx,houston-the woodlands,"cypress, texas, united states",143021
princeton,new jersey,nj,new york-newark,"princeton, new jersey, united states",142650
lansing,michigan,mi,lansing-east lansing,"lansing, michigan, united states",141650
appleton,wisconsin,wi,appleton-oshkosh-neenah,"appleton, wisconsin, united states",140200
albuquerque-santa fe metropolitan area,,,albuquerque-santa fe-las vegas,albuquerque-santa fe metropolitan area,140104
orange,california,ca,los angeles-long beach,"orange, california, united states",139822
columbia,south carolina metropolitan area,sc,columbia-orangeburg-newberry,"columbia, south carolina metropolitan area",139644
augusta,georgia,ga,augusta-richmond county,"augusta, georgia, united states",139517
bentonville,arkansas,ar,,"bentonville, arkansas, united states",138799
ogden,utah,ut,salt lake city-provo-orem,"ogden, utah, united states",138427
college station,texas,tx,college station-bryan,"college station, texas, united states",137998
suffolk county,massachusetts,ma,,"suffolk county, massachusetts, united states",137925
fredericksburg,virginia,va,washington-baltimore-arlington,"fredericksburg, virginia, united states",137750
woodbridge,virginia,va,washington-baltimore-arlington,"woodbridge, virginia, united states",137393
roseville,california,ca,sacramento-roseville,"roseville, california, united states",137317
olathe,kansas,ks,kansas city-overland park-kansas city,"olathe, kansas, united states",137219
lafayette,louisiana,la,lafayette-opelousas-morgan city,"lafayette, louisiana, united states",137072
costa mesa,california,ca,los angeles-long beach,"costa mesa, california, united states",136679
sugar land,texas,tx,houston-the woodlands,"sugar land, texas, united states",136491
chula vista,california,ca,san diego-chula vista-carlsbad,"chula vista, california, united states",135331
fargo,north dakota,nd,fargo-wahpeton,"fargo, north dakota, united states",134988
glendale,california,ca,los angeles-long beach,"glendale, california, united states",134720
nueva york,nueva york,,,"nueva york, nueva york, estados unidos",133669
herndon,virginia,va,washington-baltimore-arlington,"herndon, virginia, united states",133131
columbia,maryland,md,washington-baltimore-arlington,"columbia, maryland, united states",132913
annapolis,maryland,md,washington-baltimore-arlington,"annapolis, maryland, united states",132701
newport news,virginia,va,virginia beach-norfolk,"newport news, virginia, united states",132664
st augustine,florida,fl,jacksonville-st. marys-palatka,"st augustine, florida, united states",131888
oceanside,california,ca,,"oceanside, california, united states",131868
troy,michigan,mi,detroit-warren-ann arbor,"troy, michigan, united states",131552
garland,texas,tx,dallas-fort worth,"garland, texas, united states",131419
daytona beach,florida,fl,orlando-lakeland-deltona,"daytona beach, florida, united states",130663
gaithersburg,maryland,md,washington-baltimore-arlington,"gaithersburg, maryland, united states",129924
little rock metropolitan area,,,little rock-north little rock,little rock metropolitan area,129803
cedar rapids,iowa,ia,cedar rapids-iowa city,"cedar rapids, iowa, united states",129292
edmond,oklahoma,ok,oklahoma city-shawnee,"edmond, oklahoma, united states",129172
west chester,pennsylvania,pa,philadelphia-reading-camden,"west chester, pennsylvania, united states",128977
cupertino,california,ca,san jose-san francisco-oakland,"cupertino, california, united states",128115
greater harrisburg area,,,harrisburg-york-lebanon,greater harrisburg area,127830
carmel,indiana,in,indianapolis-carmel-muncie,"carmel, indiana, united states",127457
kirkland,washington,wa,seattle-tacoma,"kirkland, washington, united states",127044
york,pennsylvania,pa,new york-newark,"york, pennsylvania, united states",127008
everett,washington,wa,seattle-tacoma,"everett, washington, united states",126933
honolulu,hawaii,hi,urban honolulu,"honolulu, hawaii, united states",126917
hialeah,florida,fl,miami-port st. lucie-fort lauderdale,"hialeah, florida, united states",126799
greater chattanooga,,,chattanooga-cleveland-dalton,greater chattanooga,126473
santa cruz,california,ca,san jose-san francisco-oakland,"santa cruz, california, united states",126015
peoria,arizona,az,phoenix-mesa,"peoria, arizona, united states",125964
fayetteville,arkansas,ar,fayetteville-springdale-rogers,"fayetteville, arkansas, united states",125723
schenectady,new york,ny,albany-schenectady,"schenectady, new york, united states",125281
reston,virginia,va,washington-baltimore-arlington,"reston, virginia, united states",124927
kennesaw,georgia,ga,atlanta--athens-clarke county--sandy springs,"kennesaw, georgia, united states",124818
carrollton,texas,tx,dallas-fort worth,"carrollton, texas, united states",124612
roanoke,virginia,va,roanoke,"roanoke, virginia, united states",124152
evansville,indiana,in,evansville,"evansville, indiana, united states",124087
manchester,new hampshire,nh,boston-worcester-providence,"manchester, new hampshire, united states",123456
bothell,washington,wa,seattle-tacoma,"bothell, washington, united states",123204
columbus,georgia,ga,columbus-auburn-opelika,"columbus, georgia, united states",122983
baton rouge metropolitan area,,,baton rouge,baton rouge metropolitan area,122972
broomfield,colorado,co,denver-aurora,"broomfield, colorado, united states",122789
lawrence,kansas,ks,kansas city-overland park-kansas city,"lawrence, kansas, united states",122626
longmont,colorado,co,denver-aurora,"longmont, colorado, united states",122061
aurora,illinois,il,chicago-naperville,"aurora, illinois, united states",122059
port st lucie,florida,fl,miami-port st. lucie-fort lauderdale,"port st lucie, florida, united states",121146
greater lexington area,,,lexington-fayette--richmond--frankfort,greater lexington area,120919
rancho cucamonga,california,ca,los angeles-long beach,"rancho cucamonga, california, united states",120087
rochester,minnesota,mn,rochester-austin,"rochester, minnesota, united states",119478
duluth,georgia,ga,atlanta--athens-clarke county--sandy springs,"duluth, georgia, united states",119256
montgomery,alabama,al,montgomery-selma-alexander city,"montgomery, alabama, united states",119178
mclean,virginia,va,washington-baltimore-arlington,"mclean, virginia, united states",119099
edison,new jersey,nj,new york-newark,"edison, new jersey, united states",119056
roswell,georgia,ga,atlanta--athens-clarke county--sandy springs,"roswell, georgia, united states",118953
columbia,south carolina,sc,columbia-orangeburg-newberry,"columbia, south carolina, united states",118493
myrtle beach,south carolina,sc,myrtle beach-conway,"myrtle beach, south carolina, united states",118227
st charles,missouri,mo,st. louis-st. charles-farmington,"st charles, missouri, united states",118178
renton,washington,wa,seattle-tacoma,"renton, washington, united states",117682
midland,texas,tx,midland-odessa,"midland, texas, united states",117401
bethlehem,pennsylvania,pa,allentown-bethlehem-easton,"bethlehem, pennsylvania, united states",116228
modesto,california,ca,san jose-san francisco-oakland,"modesto, california, united states",115517
johnson city,tennessee,tn,johnson city-kingsport-bristol,"johnson city, tennessee, united states",115494
dublin,ohio,oh,columbus-marion-zanesville,"dublin, ohio, united states",115387
