county,state_name,cbsa,fips,cbsa_code
Clark County,Kentucky,"Lexington-Fayette, KY",21049,30460
Fayette County,Kentucky,"Lexington-Fayette, KY",21067,30460
Jessamine County,Kentucky,"Lexington-Fayette, KY",21113,30460
Scott County,Kentucky,"Lexington-Fayette, KY",21209,30460
Woodford County,Kentucky,"Lexington-Fayette, KY",21239,30460
Seward County,Kansas,"Liberal, KS",20175,30580
Allen County,Ohio,"Lima, OH",39003,30620
Logan County,Illinois,"Lincoln, IL",17107,30660
Lancaster County,Nebraska,"Lincoln, NE",31109,30700
Seward County,Nebraska,"Lincoln, NE",31159,30700
Faulkner County,Arkansas,"Little Rock-North Little Rock-Conway, AR",5045,30780
Grant County,Arkansas,"Little Rock-North Little Rock-Conway, AR",5053,30780
Lonoke County,Arkansas,"Little Rock-North Little Rock-Conway, AR",5085,30780
Perry County,Arkansas,"Little Rock-North Little Rock-Conway, AR",5105,30780
Pulaski County,Arkansas,"Little Rock-North Little Rock-Conway, AR",5119,30780
Saline County,Arkansas,"Little Rock-North Little Rock-Conway, AR",5125,30780
Clinton County,Pennsylvania,"Lock Haven, PA",42035,30820
Franklin County,Idaho,"Logan, UT-ID",16041,30860
Cache County,Utah,"Logan, UT-ID",49005,30860
Cass County,Indiana,"Logansport, IN",18017,30900
Clay County,Kentucky,"London, KY",21051,30940
Knox County,Kentucky,"London, KY",21121,30940
Laurel County,Kentucky,"London, KY",21125,30940
Whitley County,Kentucky,"London, KY",21235,30940
Gregg County,Texas,"Longview, TX",48183,30980
Harrison County,Texas,"Longview, TX",48203,30980
Rusk County,Texas,"Longview, TX",48401,30980
Upshur County,Texas,"Longview, TX",48459,30980
Cowlitz County,Washington,"Longview, WA",53015,31020
Los Alamos County,New Mexico,"Los Alamos, NM",35028,31060
Orange County,California,"Los Angeles-Long Beach-Anaheim, CA",6059,31080
Los Angeles County,California,"Los Angeles-Long Beach-Anaheim, CA",6037,31080
Clark County,Indiana,"Louisville/Jefferson County, KY-IN",18019,31140
Floyd County,Indiana,"Louisville/Jefferson County, KY-IN",18043,31140
Harrison County,Indiana,"Louisville/Jefferson County, KY-IN",18061,31140
Washington County,Indiana,"Louisville/Jefferson County, KY-IN",18175,31140
Bullitt County,Kentucky,"Louisville/Jefferson County, KY-IN",21029,31140
Henry County,Kentucky,"Louisville/Jefferson County, KY-IN",21103,31140
Jefferson County,Kentucky,"Louisville/Jefferson County, KY-IN",21111,31140
Oldham County,Kentucky,"Louisville/Jefferson County, KY-IN",21185,31140
Shelby County,Kentucky,"Louisville/Jefferson County, KY-IN",21211,31140
Spencer County,Kentucky,"Louisville/Jefferson County, KY-IN",21215,31140
Crosby County,Texas,"Lubbock, TX",48107,31180
Lubbock County,Texas,"Lubbock, TX",48303,31180
Lynn County,Texas,"Lubbock, TX",48305,31180
Mason County,Michigan,"Ludington, MI",26105,31220
Angelina County,Texas,"Lufkin, TX",48005,31260
Robeson County,North Carolina,"Lumberton, NC",37155,31300
Amherst County,Virginia,"Lynchburg, VA",51009,31340
Appomattox County,Virginia,"Lynchburg, VA",51011,31340
Bedford County,Virginia,"Lynchburg, VA",51019,31340
Campbell County,Virginia,"Lynchburg, VA",51031,31340
Lynchburg city,Virginia,"Lynchburg, VA",51680,31340
McDonough County,Illinois,"Macomb, IL",17109,31380
Bibb County,Georgia,"Macon-Bibb County, GA",13021,31420
Crawford County,Georgia,"Macon-Bibb County, GA",13079,31420
Jones County,Georgia,"Macon-Bibb County, GA",13169,31420
Monroe County,Georgia,"Macon-Bibb County, GA",13207,31420
Twiggs County,Georgia,"Macon-Bibb County, GA",13289,31420
Madera County,California,"Madera, CA",6039,31460
Jefferson County,Indiana,"Madison, IN",18077,31500
Columbia County,Wisconsin,"Madison, WI",55021,31540
Dane County,Wisconsin,"Madison, WI",55025,31540
Green County,Wisconsin,"Madison, WI",55045,31540
Iowa County,Wisconsin,"Madison, WI",55049,31540
Hopkins County,Kentucky,"Madisonville, KY",21107,31580
Columbia County,Arkansas,"Magnolia, AR",5027,31620
Franklin County,New York,"Malone, NY",36033,31660
Hot Spring County,Arkansas,"Malvern, AR",5059,31680
Hillsborough County,New Hampshire,"Manchester-Nashua, NH",33011,31700
Geary County,Kansas,"Manhattan, KS",20061,31740
Pottawatomie County,Kansas,"Manhattan, KS",20149,31740
Riley County,Kansas,"Manhattan, KS",20161,31740
Manitowoc County,Wisconsin,"Manitowoc, WI",55071,31820
Blue Earth County,Minnesota,"Mankato, MN",27013,31860
Nicollet County,Minnesota,"Mankato, MN",27103,31860
Richland County,Ohio,"Mansfield, OH",39139,31900
Washington County,Ohio,"Marietta, OH",39167,31930
Menominee County,Michigan,"Marinette, WI-MI",26109,31940
Marinette County,Wisconsin,"Marinette, WI-MI",55075,31940
Grant County,Indiana,"Marion, IN",18053,31980
McDowell County,North Carolina,"Marion, NC",37111,32000
Marion County,Ohio,"Marion, OH",39101,32020
Marquette County,Michigan,"Marquette, MI",26103,32100
Lyon County,Minnesota,"Marshall, MN",27083,32140
Saline County,Missouri,"Marshall, MO",29195,32180
Marshall County,Iowa,"Marshalltown, IA",19127,32260
Weakley County,Tennessee,"Martin, TN",47183,32280
